repo,number,title,body,label
EricF3lix/ProjetoP3,12,[Sonar] Avoid expanding secrets in a run block.,"### Detalhes da Issue (SonarCloud)

- **Chave Sonar:** `AaCcsCQTyyKf7W-f9vnu`
- **Severidade:** MAJOR
- **Tipo:** VULNERABILITY
- **Arquivo:** `.github/workflows/ci.yml`
- **Linha:** 88

*Issue gerada automaticamente pela integração Sonar-Kanban.*",SECURITY
VanillaIceCube/FullStackTemplate,152,Update SVG and serialization dependencies,"<!-- fullstacktemplate-security-alert:vulnerability:b21c5b6662ed945c630a -->
## Security alert group

svgo can incompletely sanitize executable HTML in SVG foreignObject elements, while serialize-javascript can suffer CPU exhaustion from crafted array-like objects.

## Recommended next step

Update svgo and serialize-javascript to releases addressing their respective advisories, then test SVG sanitization and serialization of untrusted inputs.

## Source alerts

- [dependabot:14](https://github.com/VanillaIceCube/FullStackTemplate/security/dependabot/14) — serialize-javascript (medium)
- [dependabot:36](https://github.com/VanillaIceCube/FullStackTemplate/security/dependabot/36) — svgo (medium)

_This issue is managed by the daily security-alert aggregation workflow._",SECURITY
VanillaIceCube/FullStackTemplate,151,Update uuid and validate buffer handling,"<!-- fullstacktemplate-security-alert:vulnerability:12270e3fc07ff45f3a1c -->
## Security alert group

uuid has a missing buffer bounds check in versions 3, 5, and 6 when a buffer is provided.

## Recommended next step

Update uuid to a release addressing the advisory and add tests covering provided buffers at boundary and oversized conditions.

## Source alerts

- [dependabot:13](https://github.com/VanillaIceCube/FullStackTemplate/security/dependabot/13) — uuid (medium)

_This issue is managed by the daily security-alert aggregation workflow._",SECURITY
VanillaIceCube/Notoli,813,Update http-proxy-middleware and validate routing,"<!-- notoli-security-alert:vulnerability:a1f2e1432914c0b934a3 -->
## Security alert group

http-proxy-middleware can use Host-header-driven substring matching to bypass intended backend routing.

## Recommended next step

Update http-proxy-middleware to a release containing the fix and verify that proxy routing does not trust attacker-controlled Host headers or ambiguous substring matches.

## Source alerts

- [dependabot:80](https://github.com/VanillaIceCube/Notoli/security/dependabot/80) — http-proxy-middleware (medium)

_This issue is managed by the daily security-alert aggregation workflow._",SECURITY
VanillaIceCube/Notoli,812,Update Babel and review source-map processing,"<!-- notoli-security-alert:vulnerability:95d02f75087a55c2ff3d -->
## Security alert group

@babel/core can read arbitrary files through sourceMappingURL comments.

## Recommended next step

Update @babel/core to a release containing the fix and review whether untrusted source content is compiled or source maps are resolved during builds.

## Source alerts

- [dependabot:74](https://github.com/VanillaIceCube/Notoli/security/dependabot/74) — @babel/core (low)

_This issue is managed by the daily security-alert aggregation workflow._",SECURITY
VanillaIceCube/Notoli,811,Update ws to prevent memory disclosure,"<!-- notoli-security-alert:vulnerability:f6159706624eb2768438 -->
## Security alert group

ws has a medium-severity uninitialized memory disclosure vulnerability.

## Recommended next step

Update ws to a release containing the security fix and exercise WebSocket handling tests for malformed and boundary-condition inputs.

## Source alerts

- [dependabot:69](https://github.com/VanillaIceCube/Notoli/security/dependabot/69) — ws (medium)

_This issue is managed by the daily security-alert aggregation workflow._",SECURITY
VanillaIceCube/Notoli,810,Update uuid and validate output buffers,"<!-- notoli-security-alert:vulnerability:44855dce5e9cd157c2ba -->
## Security alert group

uuid has a missing buffer bounds check affecting v3, v5, and v6 when a buffer is provided.

## Recommended next step

Update uuid to a release containing the fix and add boundary tests for caller-provided buffers used by the affected UUID versions.

## Source alerts

- [dependabot:67](https://github.com/VanillaIceCube/Notoli/security/dependabot/67) — uuid (medium)

_This issue is managed by the daily security-alert aggregation workflow._",SECURITY
VanillaIceCube/Notoli,809,Update serialize-javascript to prevent CPU exhaustion,"<!-- notoli-security-alert:vulnerability:4c49337e1bc67f3bcdba -->
## Security alert group

serialize-javascript can incur CPU exhaustion when processing crafted array-like objects.

## Recommended next step

Update serialize-javascript to a release containing the fix and review whether attacker-controlled objects reach serialization paths.

## Source alerts

- [dependabot:66](https://github.com/VanillaIceCube/Notoli/security/dependabot/66) — serialize-javascript (medium)

_This issue is managed by the daily security-alert aggregation workflow._",SECURITY
hkolvenbach/oci-explorer,297,vuln: 2026-09-13 — 20 fixable vulnerabilities in latest image,"## Fixable Vulnerabilities in `ghcr.io/hkolvenbach/oci-explorer:latest`

Scanned on 2026-09-13. **20 fixable** out of 21 total vulnerabilities.

| CVE | Severity | Package | Installed | Fixed |
|-----|----------|---------|-----------|-------|
| CVE-2026-33818 | HIGH | stdlib | v1.26.5 | 1.25.13, 1.26.6, 1.27.0-rc.3 |
| CVE-2026-39821 | HIGH | stdlib | v1.26.5 | 1.25.13, 1.26.6, 1.27.0-rc.3 |
| CVE-2026-46600 | HIGH | stdlib | v1.26.5 | 1.26.6, 1.27.0-rc.3 |
| CVE-2026-50163 | HIGH | oras.land/oras-go/v2 | v2.6.1 | 2.6.2 |
| CVE-2026-53495 | MEDIUM | github.com/containerd/containerd/v2 | v2.3.3 | 2.0.12, 2.2.8, 2.3.5 |
| CVE-2026-56853 | HIGH | stdlib | v1.26.5 | 1.25.13, 1.26.6, 1.27.0-rc.3 |
| CVE-2026-56854 | HIGH | golang.org/x/crypto | v0.54.0 | 0.55.0 |
| CVE-2026-56855 | MEDIUM | golang.org/x/crypto | v0.54.0 | 0.56.0 |
| CVE-2026-56858 | HIGH | stdlib | v1.26.5 | 1.25.13, 1.26.6, 1.27.0-rc.3 |
| CVE-2026-56859 | HIGH | stdlib | v1.26.5 | 1.25.13, 1.26.6, 1.27.0-rc.3 |
| CVE-2026-56860 | HIGH | stdlib | v1.26.5 | 1.25.13, 1.26.6, 1.27.0-rc.3 |
| CVE-2026-56862 | HIGH | stdlib | v1.26.5 | 1.25.13, 1.26.6, 1.27.0-rc.3 |
| CVE-2026-56864 | HIGH | golang.org/x/mod | v0.38.0 | 0.40.0 |
| CVE-2026-56865 | HIGH | golang.org/x/mod | v0.38.0 | 0.40.0 |
| CVE-2026-71556 | HIGH | github.com/go-git/go-git/v5 | v5.19.1 | 5.19.2 |
| CVE-2026-71557 | MEDIUM | github.com/go-git/go-git/v5 | v5.19.1 | 5.19.2 |
| CVE-2026-78662 | MEDIUM | golang.org/x/crypto | v0.54.0 | 0.56.0 |
| CVE-2026-84303 | MEDIUM | google.golang.org/grpc | v1.82.1 | 1.83.1 |
| CVE-2026-84304 | HIGH | google.golang.org/grpc | v1.82.1 | 1.83.1 |
| CVE-2026-84445 | HIGH | google.golang.org/grpc | v1.82.1 | 1.82.2, 1.83.2, 1.85.0-dev.0.20260825072537-93e31b48545e |

### Suggested actions

Update the following in `go.mod`, `Dockerfile`, or `Makefile`:

- **Go version**: bump to 1.25.13, 1.26.6, 1.27.0-rc.3, 1.26.6, 1.27.0-rc.3 (fixes 8 stdlib CVEs)
- **github.com/containerd/containerd/v2**: upgrade to 2.0.12, 2.2.8, 2.3.5 (fixes CVE-2026-53495)
- **github.com/go-git/go-git/v5**: upgrade to 5.19.2 (fixes CVE-2026-71556)
- **golang.org/x/crypto**: upgrade to 0.55.0 (fixes CVE-2026-56854)
- **golang.org/x/mod**: upgrade to 0.40.0 (fixes CVE-2026-56864)
- **google.golang.org/grpc**: upgrade to 1.83.1 (fixes CVE-2026-84303)
- **oras.land/oras-go/v2**: upgrade to 2.6.2 (fixes CVE-2026-50163)
- **Trivy**: check for newer Trivy release that bundles fixed dependencies",SECURITY
aifuturesdemos/mycustomapp,1465,Insufficient input validation for paddle speed allows denial of service,"The main.py file accepts paddle speed from the command line and validates it as a positive integer, but does not restrict the maximum value. This allows a user to set an excessively high paddle speed, potentially causing gameplay instability or denial of service. 

Suggested fix: Add an upper bound check (e.g., restrict paddle_speed to a reasonable maximum such as 20) to prevent abuse.",SECURITY
aifuturesdemos/mycustomapp,1463,DoS risk: Paddle speed input allows resource exhaustion,"The main.py file accepts paddle speed input from the command line and uses a regex to validate it as a positive integer. However, this input is used directly to control paddle movement speed, which can lead to denial-of-service (DoS) attacks if a very large value is provided. An attacker could supply an extremely high number, causing the game to become unplayable or crash due to excessive paddle movement. 

Suggested fix: Restrict paddle_speed to a reasonable maximum value (e.g., 1-20) after validation to prevent resource exhaustion.",SECURITY
rodri-oliveira-dev/ReliableWebhooks,51,security: prevent custom headers from overriding transport routing and HTTP framing,"## Context

The OWASP injection/SSRF review found a gap not covered by #41. Issue #41 addresses syntactically invalid custom header names/values, but a header can be syntactically valid and still be unsafe for a generic webhook engine to let message data control.

`WebhookHttpTransport` currently tries every custom header against `request.Headers.TryAddWithoutValidation(...)` and then content headers. There is no deny-list/reserved-header policy for transport-controlled fields.

Examples of security-sensitive protocol headers include `Host` and HTTP framing/hop-by-hop headers such as `Content-Length`, `Transfer-Encoding`, `Connection`, `TE`, `Trailer` and `Upgrade`.

## Security problem

A custom `Host` header can make the application-layer target differ from the URI host used for destination validation/DNS connection. In virtual-host/reverse-proxy environments this can undermine the trust assumptions of an SSRF allow/deny policy based only on `WebhookMessage.Destination`.

Allowing message data to control framing/hop-by-hop headers can also create ambiguous or handler-dependent HTTP semantics and expand request-smuggling/protocol-confusion risk.

These are different from legitimate end-to-end application headers such as `Authorization`, which consumers may need to configure deliberately.

## Impact

- possible bypass of hostname/virtual-host assumptions in destination-security policies;
- SSRF controls can validate one destination while the HTTP `Host` field selects another virtual service at the connected address;
- protocol framing can become influenced by persisted tenant/message data;
- behavior differs by HTTP version/handler/proxy, making security review difficult;
- fixing only CR/LF validation in #41 does not address dangerous-but-valid header names.

## Expected behavior

ReliableWebhooks must own routing, authority and HTTP framing headers. `WebhookMessage.Headers` should be limited to safe end-to-end application headers unless an advanced consumer deliberately replaces/customizes the transport.

## Definition of Done

- [ ] A documented reserved/forbidden custom-header set is defined for the default transport.
- [ ] `Host` cannot be supplied through `WebhookMessage.Headers` under the default transport.
- [ ] Message data cannot override `Content-Length`, `Transfer-Encoding`, `Connection`, `TE`, `Trailer`, `Upgrade` or other transport/hop-by-hop framing fields deemed unsafe for the supported HTTP versions.
- [ ] The policy is case-insensitive.
- [ ] Legitimate application headers such as `Authorization` remain supported unless there is a specific documented security reason to restrict them.
- [ ] Attempts to use reserved headers fail deterministically before network I/O and do not enter transient retry loops.
- [ ] Tests prove a custom `Host` cannot override the authority derived from `WebhookMessage.Destination`.
- [ ] Tests cover each reserved header and case variants.
- [ ] The design is coordinated with #38 so destination/SSRF policy cannot be bypassed through HTTP authority manipulation.
- [ ] The design is coordinated with #41 so syntax validation and reserved-header authorization are separate, explicit checks.
- [ ] Advanced users who truly require low-level HTTP control have a documented escape hatch through a custom transport/handler rather than weakening safe defaults.
- [ ] README/production usage documents the supported custom-header contract.
- [ ] `dotnet format`, Release build, transport tests, sample E2E, CodeQL, package validation and release dry-run remain green.

## OWASP mapping

- **A05:2025 – Injection**
- **A01:2025 – Broken Access Control** (when authority-based network controls are bypassed)
- **A06:2025 – Insecure Design**",SECURITY
rodri-oliveira-dev/ReliableWebhooks,47,security: bind webhook metadata to the authenticated HMAC envelope,"## Context

An OWASP data-integrity review of `main` found that the built-in HMAC signer authenticates only:

```text
UTF8(unixTimestampSeconds + ""."") || rawRequestBodyBytes
```

The generated `X-Webhook-Id` and `X-Webhook-Event` headers are not part of the HMAC input. `Content-Type` is also outside the authenticated envelope.

The production documentation correctly warns consumers not to trust these headers for authorization/routing/idempotency unless they cross-check authoritative values embedded in the signed payload. However, this remains a known insecure-by-default footgun in the built-in signing contract.

## Security problem

A receiver that verifies the signature correctly can still be given altered unsigned metadata while the HMAC remains valid.

If a receiver routes by `X-Webhook-Event`, deduplicates by `X-Webhook-Id`, or interprets the body based on `Content-Type` without an additional application-level cross-check, an intermediary or attacker capable of modifying those headers can change receiver behavior without invalidating the signature.

The current contract therefore authenticates the body, but not the complete delivery semantics presented by the generated headers.

## Impact

- event-type substitution against receivers that route by the generated event header;
- idempotency-key substitution when receivers trust `X-Webhook-Id` directly;
- content-type manipulation while preserving a valid body signature;
- repeated custom cross-check logic is required in every receiver to recover integrity that could be provided by the signing envelope;
- the generated metadata headers can be mistaken for authenticated metadata because they are emitted alongside the HMAC signature.

## Expected behavior

The built-in signed-delivery protocol should authenticate every security-sensitive metadata field that ReliableWebhooks itself generates and expects receivers to consume, using an unambiguous, versioned canonical representation.

## Definition of Done

- [ ] A versioned canonical signing format is defined for the built-in HMAC protocol.
- [ ] The authenticated envelope includes at least timestamp, stable webhook ID, event type, content type and exact payload bytes, or a documented equivalent that provides the same integrity guarantee.
- [ ] Canonical encoding is unambiguous (for example length-prefixing or another formally specified framing), avoiding delimiter ambiguity.
- [ ] A change to webhook ID invalidates the signature.
- [ ] A change to event type invalidates the signature.
- [ ] A change to content type invalidates the signature.
- [ ] A payload or timestamp change continues to invalidate the signature.
- [ ] The receiver sample verifies the full authenticated envelope before trusting generated metadata.
- [ ] Known deterministic test vectors cover the final canonical representation.
- [ ] If backward compatibility with the current `v1=` format is retained, downgrade/version handling is explicit and cannot silently verify a weaker format when a stronger version is required.
- [ ] Documentation clearly identifies which fields are authenticated and which are not.
- [ ] Secret-provider guidance recommends scoping secrets to receiver/trust audience and avoiding secret reuse across unrelated receivers.
- [ ] Public API/protocol compatibility is deliberately reviewed before v0.1.0 so the first public release does not freeze an avoidable weaker wire contract.
- [ ] `dotnet format`, Release build, signing tests, sample E2E, CodeQL, package validation and release dry-run remain green.

## OWASP mapping

- **A08:2025 – Software or Data Integrity Failures**
- **A04:2025 – Cryptographic Failures**
- **A06:2025 – Insecure Design**",SECURITY
rodri-oliveira-dev/ReliableWebhooks,46,security: enforce a minimum cryptographic strength for HMAC-SHA256 signing secrets,"## Context

An OWASP cryptography review of `main` found that `HmacSha256WebhookRequestSigner` accepts any non-empty byte sequence as an HMAC-SHA256 secret.

The only current check is `secret.IsEmpty`. A one-byte, password-derived, or otherwise very low-entropy key is accepted and produces a syntactically valid signature indistinguishable from one created with a strong key.

The existing test vector even uses a short human-readable test secret, so the test suite does not currently encode a production-strength key expectation.

OWASP guidance for HMAC/HS256 recommends cryptographically generated secrets with strength appropriate to SHA-256 and advises keys at least as long as the output (256 bits / 32 bytes) rather than passwords or low-entropy strings.

## Security problem

The built-in signer presents HMAC-SHA256 as the secure signing implementation but does not fail closed when the configured key material is trivially weak.

This leaves a high-impact cryptographic property entirely implicit and easy to misconfigure.

## Impact

- weak shared secrets can be brute-forced offline from captured webhook requests/signatures;
- compromise of the HMAC key allows attackers to forge arbitrary signed webhook payloads;
- configuration errors are not detected at startup or first signing use;
- test/sample patterns can normalize short text secrets rather than high-entropy key material.

## Expected behavior

The built-in HMAC-SHA256 signer must enforce or explicitly validate a minimum key-strength policy suitable for production use, with 32 random bytes as the secure default expectation.

## Definition of Done

- [ ] The built-in signer rejects secrets below the documented minimum cryptographic length/strength.
- [ ] The secure default target is at least 256 bits / 32 bytes of cryptographically generated key material unless a documented standards-based rationale chooses a different threshold.
- [ ] Empty and undersized secrets fail with an actionable exception that never includes the key material.
- [ ] Exactly-minimum and longer keys are accepted.
- [ ] Sample/test secret material is replaced with deterministic 32-byte+ test vectors where relevant.
- [ ] A known HMAC-SHA256 vector remains covered after changing the test key.
- [ ] Documentation tells consumers to generate random key bytes with a CSPRNG/secret manager and not use passwords/passphrases as HMAC secrets.
- [ ] Documentation covers secret rotation and recommends different secrets for distinct trust audiences/receivers.
- [ ] Secret bytes copied by the signer continue to be zeroed after use.
- [ ] No secret value is emitted in logs, traces, metrics or exception messages.
- [ ] Public API compatibility is reviewed if the minimum-key policy is configurable.
- [ ] `dotnet format`, Release build, signing tests, sample E2E, CodeQL, package validation and release dry-run remain green.

## OWASP mapping

- **A04:2025 – Cryptographic Failures**
- **A02:2025 – Security Misconfiguration**

Reference: OWASP guidance for HMAC SHA-256 recommends cryptographically generated secrets with adequate entropy/length and not password-derived shared secrets.",SECURITY
rodri-oliveira-dev/ReliableWebhooks,45,security: isolate delivery-scoped failures so one poison message cannot stop the dispatcher,"## Context

An OWASP A10-focused review of `main` found that `WebhookDispatcher.ProcessLeaseAsync` catches unexpected exceptions only to log them and then rethrows. `RunAsync` observes any failed in-flight task, captures the exception, drains remaining work and rethrows. The hosted integration returns `dispatcher.RunAsync(...)` directly from `BackgroundService.ExecuteAsync`.

This means an unexpected exception associated with one delivery can terminate the entire dispatcher/hosted worker.

## Security problem

A single malformed or adversarial delivery that reaches a deterministic exception path can become a denial-of-service trigger for all webhook processing.

Current examples include protocol-invalid message fields that are not yet validated, but the same failure mode can also occur in custom signers, secret providers, classifiers, transports or other delivery-scoped extension points.

Infrastructure-wide failures (for example a persistence backend outage during `ClaimDueAsync`) may legitimately be fatal or require host-level restart. Delivery-scoped failures should not automatically have the same blast radius.

## Impact

- one poison delivery can stop processing of unrelated healthy deliveries;
- hosted applications may stop the background service or host depending on `BackgroundServiceExceptionBehavior`;
- attacker-controlled message data can become an availability attack when it reaches an unexpected exception path;
- transient extension-point failures can create a full dispatcher outage instead of being isolated/retried/dead-lettered;
- the current failure model does not distinguish delivery-scoped errors from dispatcher/infrastructure corruption.

## Expected behavior

The dispatcher must contain failures at the smallest safe scope. A failure affecting one delivery should result in a controlled state transition/retry/dead-letter decision without terminating unrelated delivery processing, while genuinely fatal infrastructure/invariant failures remain observable and can still fail fast.

## Definition of Done

- [ ] The dispatcher defines and documents which exception categories are delivery-scoped versus dispatcher/infrastructure-fatal.
- [ ] Unexpected exceptions from one delivery do not automatically terminate all in-flight and future delivery processing.
- [ ] Delivery-scoped failures are persisted using a bounded retry/dead-letter strategy or another explicit terminal policy.
- [ ] A deterministic poison delivery cannot be reclaimed/reprocessed forever without progressing toward a bounded terminal outcome.
- [ ] Persistence/claim infrastructure failures that make safe processing impossible remain visible and may still stop/restart the worker deliberately.
- [ ] Cancellation and `WebhookDeliveryStoreConcurrencyException` retain their existing ownership semantics.
- [ ] Tests enqueue one poison delivery plus healthy deliveries and prove healthy deliveries continue to completion.
- [ ] Tests cover exceptions from signer/secret-provider/transport extension points and distinguish them from store-wide failures.
- [ ] Tests cover hosted-service behavior and prove one delivery exception does not unexpectedly stop the Generic Host.
- [ ] Logs/traces expose exception type/outcome without payloads, secrets, raw destination URLs or sensitive header values.
- [ ] Retry/dead-letter metrics remain internally consistent.
- [ ] Documentation describes failure isolation and operational alerting expectations.
- [ ] `dotnet format`, Release build, tests, sample E2E, CodeQL, package validation and release dry-run remain green.

## OWASP mapping

- **A10:2025 – Mishandling of Exceptional Conditions**
- **A06:2025 – Insecure Design**",SECURITY
rodri-oliveira-dev/ReliableWebhooks,44,"security: validate webhook ID, event type and content type before using them in protocol headers and telemetry","## Context

The OWASP review of `main` found that issue #41 covers **custom header** validation, but several other `WebhookMessage` fields also cross the HTTP/logging boundary without equivalent validation.

`WebhookMessage` currently validates only that `Id`, `EventType` and `ContentType` are non-empty/non-whitespace.

Later the transport uses:

- `ContentType` through `TryAddWithoutValidation(""Content-Type"", message.ContentType)`;
- `Id` as the generated `X-Webhook-Id` header;
- `EventType` as the generated `X-Webhook-Event` header.

`Id` and `EventType` are also emitted into structured logs/traces, and `EventType` is used as a metric dimension.

## Security problem

Values containing CR/LF/NUL or other invalid/control characters can pass the model boundary even though they are later used as HTTP header values and telemetry fields.

That means fixing arbitrary custom headers alone does not fully close the header/log injection surface.

`Content-Type` also has protocol grammar that is not currently parsed/validated before persistence.

## Impact

- generated-header injection/request-splitting risk from invalid `Id` or `EventType` values;
- invalid `Content-Type` values can become persisted poison deliveries;
- log/trace forging or multi-line telemetry output when control characters reach sinks;
- deterministic malformed messages can fail late in the dispatcher rather than fail fast at construction/enqueue time;
- security guarantees differ between custom headers and built-in metadata fields.

## Expected behavior

Every `WebhookMessage` field that becomes an HTTP header or telemetry value must have a clear syntactic contract and be validated before persistence.

## Definition of Done

- [ ] `WebhookMessage.Id` rejects CR, LF, NUL and other disallowed control characters.
- [ ] `WebhookMessage.EventType` rejects CR, LF, NUL and other disallowed control characters.
- [ ] `WebhookMessage.ContentType` is validated as a syntactically valid HTTP media type rather than only as a non-empty string.
- [ ] Invalid values fail before a message can be persisted or dispatched.
- [ ] Generated signing headers are applied using validated values only.
- [ ] Structured logs and traces cannot receive newline/control-character injection through ID or event type.
- [ ] Tests cover CR/LF/NUL, malformed media types, valid vendor media types, Unicode/allowed event names and normal stable IDs.
- [ ] Tests prove invalid built-in metadata cannot become a poison delivery in a durable store.
- [ ] Exceptions identify the invalid field but do not echo sensitive arbitrary values unnecessarily.
- [ ] Validation rules and compatibility expectations are documented in README/production usage.
- [ ] The work is coordinated with #41 so custom headers and built-in metadata use a coherent HTTP-input validation policy.
- [ ] Public API compatibility is reviewed before v0.1.0.
- [ ] `dotnet format`, Release build, tests, sample E2E, CodeQL, package validation and release dry-run remain green.

## OWASP mapping

- **A05:2025 – Injection**
- **A10:2025 – Mishandling of Exceptional Conditions**
- **A06:2025 – Insecure Design**",SECURITY
rodri-oliveira-dev/ReliableWebhooks,43,security: disable automatic cookies on the default webhook HttpClient,"## Context

An OWASP-focused review of `main` at `811beabeab0538aa65f68901b77fc86c5fbde095` found that the default DI integration creates a pooled `SocketsHttpHandler` with `AllowAutoRedirect = false`, but leaves automatic cookie handling enabled.

`IHttpClientFactory` pools `HttpMessageHandler` instances. Microsoft explicitly warns that pooled handlers share `CookieContainer` state and that unexpected sharing can leak cookies between otherwise unrelated uses of the client.

ReliableWebhooks is a multi-destination outbound delivery engine and does not require browser-style cookie state for its delivery protocol.

## Security problem

A webhook endpoint can return `Set-Cookie`. Because the named ReliableWebhooks handler is pooled, that cookie can be retained and automatically attached to later webhook requests that match the cookie scope.

This introduces hidden cross-request state into a component whose expected behavior is stateless delivery.

In multi-tenant deployments, endpoints under the same host/domain hierarchy or shared infrastructure can influence later requests through cookie state even though the application never explicitly configured cookies.

## Impact

- unintended cookie leakage between webhook deliveries;
- cross-tenant/request state contamination for endpoints sharing cookie scope;
- receiver-controlled state can alter future outbound requests;
- harder-to-audit delivery semantics because cookies are neither part of `WebhookMessage` nor persistence/signing contracts;
- pooled handler lifetime makes the behavior non-obvious to consumers.

## Expected behavior

The default ReliableWebhooks `HttpClient` must be stateless with respect to cookies. Automatic cookie storage/sending should be disabled by default.

Consumers that deliberately need cookie-based behavior should have to replace/customize the HTTP transport explicitly and accept responsibility for isolation.

## Definition of Done

- [ ] The default `SocketsHttpHandler` used by `AddReliableWebhooks` sets `UseCookies = false`.
- [ ] A regression test has one receiver return a unique `Set-Cookie` value and proves a later webhook request does not contain that cookie.
- [ ] Tests cover multiple requests to the same host and to related paths/domains where a shared `CookieContainer` would otherwise matter.
- [ ] No cookie state is persisted implicitly between delivery attempts by the default transport.
- [ ] Direct construction with a caller-provided `HttpClient` is documented as consumer-controlled; the library does not claim to override that client's cookie policy.
- [ ] Production documentation explicitly states that the DI default disables cookies and redirects for security/predictability.
- [ ] The change does not break custom authentication headers supplied through the supported header mechanism.
- [ ] `dotnet format`, Release build, tests, sample E2E, CodeQL, package validation and release dry-run remain green.

## OWASP mapping

- **A02:2025 – Security Misconfiguration**
- **A06:2025 – Insecure Design**

Reference: Microsoft `IHttpClientFactory` guidance warns that pooled handlers share `CookieContainer` instances and may leak cookies between unrelated parts of an application.",SECURITY
rodri-oliveira-dev/ReliableWebhooks,42,security: require HTTPS destinations by default and make plaintext HTTP an explicit opt-in,"## Context

An OWASP-focused review of `main` at `811beabeab0538aa65f68901b77fc86c5fbde095` found that `WebhookMessage` accepts both `http://` and `https://` destinations as equally valid production destinations.

`WebhookMessage.IsHttpDestination(...)` explicitly returns true for both schemes, and there is no transport option that rejects plaintext HTTP by default.

OWASP Top 10:2025 A04 (Cryptographic Failures) and the OWASP TLS/Web Service guidance recommend encrypting service-to-service traffic in transit. Webhook requests can contain sensitive payloads, authorization headers, stable identifiers, and replayable HMAC signatures.

## Security problem

A consumer can accidentally configure a production webhook as `http://...` and ReliableWebhooks will send it without any explicit security opt-in or warning.

On plaintext HTTP, a network attacker or intermediary can observe payloads and headers, capture a valid HMAC signature/timestamp pair for replay, and modify metadata that is not covered by the current HMAC canonical bytes.

The existence of HMAC signing does not provide confidentiality and does not replace TLS server authentication.

## Impact

- disclosure of webhook payloads and custom authorization headers;
- capture/replay of signed requests inside the receiver replay window;
- tampering with unsigned request metadata;
- no server authentication against a network MITM;
- insecure production configuration is accepted silently.

## Expected behavior

HTTPS must be the safe default for outbound webhooks. Plain HTTP should require an explicit, highly visible opt-in intended for development, loopback, or a deliberately trusted private network.

## Definition of Done

- [ ] The default transport/integration rejects non-HTTPS webhook destinations before sending any bytes.
- [ ] Plain HTTP requires an explicit configuration opt-in with a security-oriented name (for example `AllowInsecureHttp`).
- [ ] The opt-in is disabled by default.
- [ ] The runnable local sample explicitly opts in for its loopback HTTP endpoint rather than weakening the production default.
- [ ] Tests prove `https://` succeeds under defaults and `http://` is rejected under defaults.
- [ ] Tests prove the explicit opt-in allows the intended HTTP development scenario.
- [ ] The rejection is classified as deterministic/non-retryable so an insecure destination cannot create an endless retry loop.
- [ ] Documentation clearly states that HMAC does not replace TLS confidentiality or server authentication.
- [ ] Production guidance recommends TLS 1.2+ / platform-secure defaults and warns against disabling certificate validation.
- [ ] Direct `WebhookHttpTransport` construction and DI-based transport have consistent documented semantics.
- [ ] Public API compatibility is reviewed before v0.1.0 if a new option/policy is introduced.
- [ ] `dotnet format`, Release build, tests, sample E2E, CodeQL, package validation and release dry-run remain green.

## OWASP mapping

- **A04:2025 – Cryptographic Failures**
- **A02:2025 – Security Misconfiguration**

References:
- OWASP Transport Layer Security Cheat Sheet
- OWASP Web Service Security Cheat Sheet",SECURITY
